name,country,nb_emitters,nb_transfers,transfer_sum,identifiers
Council of Australasian University Librarians,AU,16,23,0.0,"[{'registry': 'ror', 'value': '00aa7w613'}, {'registry': 'wikidata', 'value': 'Q5176360'}]"
Bibliothèque Interuniversitaire de la Communauté française de Belgique,BE,4,8,0.0,"[{'registry': 'wikidata', 'value': 'Q76612327'}]"
Elektron VZW,BE,9,25,0.0,"[{'registry': 'wikidata', 'value': 'Q27991319'}]"
Ontario Council of University Libraries,CA,13,22,0.0,"[{'registry': 'wikidata', 'value': 'Q30289390'}, {'registry': 'ror', 'value': '028215596'}]"
Council of Atlantic University Libraries,CA,7,11,0.0,"[{'registry': 'wikidata', 'value': 'Q76612380'}]"
Canadian Research Knowledge Network,CA,31,51,0.0,"[{'registry': 'wikidata', 'value': 'Q76609347'}, {'registry': 'ror', 'value': '00s5kmw74'}]"
Swiss Library Service Platform,CH,29,114,0.0,"[{'registry': 'wikidata', 'value': 'Q97687909'}]"
Niedersachsen Konsortium,DE,16,32,0.0,"[{'registry': 'wikidata', 'value': 'Q76612496'}]"
Friedrich-Althoff-Konsortium e.V.,DE,8,12,0.0,"[{'registry': 'wikidata', 'value': 'Q76612411'}]"
SLUB Dresden,DE,1,1,0.0,"[{'registry': 'ror', 'value': '03wf51b65'}, {'registry': 'wikidata', 'value': 'Q323270'}]"
Bavarian State Library,DE,11,18,0.0,"[{'registry': 'wikidata', 'value': 'Q256507'}, {'registry': 'ror', 'value': '031h71w90'}]"
Konsortium Baden-Württemberg,DE,9,9,0.0,"[{'registry': 'wikidata', 'value': 'Q76612447'}]"
Knowledge Unlatched (Germany),DE,7,16,0.0,"[{'registry': 'wikidata', 'value': 'Q16989244'}, {'registry': 'ror', 'value': '00xgd4p18'}]"
Royal Danish Library,DK,20,40,0.0,"[{'registry': 'wikidata', 'value': 'Q867885'}, {'registry': 'ror', 'value': '03vvy0v27'}]"
FinELib,FI,20,59,0.0,"[{'registry': 'wikidata', 'value': 'Q76612408'}]"
Couperin,FR,75,136,47750.0,"[{'registry': 'ror', 'value': '035c9qf67'}, {'registry': 'wikidata', 'value': 'Q2994760'}]"
Jisc,GB,72,176,15134.0,"[{'registry': 'ror', 'value': '01rv9gx86'}, {'registry': 'wikidata', 'value': 'Q6269240'}]"
Open Book Collective,GB,28,44,0.0,"[{'registry': 'wikidata', 'value': 'Q115680383'}, {'registry': 'ror', 'value': '043be3q74'}]"
Irish Research eLibrary,IE,10,26,0.0,"[{'registry': 'wikidata', 'value': 'Q76612439'}, {'registry': 'ror', 'value': '05c347015'}]"
Sikt – Norwegian Agency for Shared Services in Education and Research,NO,22,73,0.0,"[{'registry': 'wikidata', 'value': 'Q107287773'}, {'registry': 'ror', 'value': '03zee5r16'}]"
Bibsam Consortium,SE,21,21,0.0,"[{'registry': 'wikidata', 'value': 'Q55605397'}]"
Amigos Library Services,US,6,8,0.0,"[{'registry': 'ror', 'value': '018gpkq23'}]"
Association of Southeastern Research Libraries,US,12,13,0.0,"[{'registry': 'wikidata', 'value': 'Q76609335'}]"
Pennsylvania Academic Library Consortium,US,21,37,0.0,"[{'registry': 'wikidata', 'value': 'Q30289412'}, {'registry': 'ror', 'value': '02m6s1q30'}]"
Statewide California Electronic Library Consortium,US,24,24,0.0,"[{'registry': 'wikidata', 'value': 'Q30289538'}, {'registry': 'ror', 'value': '04zp06k22'}]"
Ohio Library and Information Network,US,17,31,0.0,"[{'registry': 'wikidata', 'value': 'Q7080725'}, {'registry': 'ror', 'value': '05bqcch62'}]"
Colorado Alliance of Research Libraries,US,4,4,0.0,"[{'registry': 'wikidata', 'value': 'Q5148699'}]"
NERL Consortium,US,22,36,0.0,"[{'registry': 'wikidata', 'value': 'Q30289358'}, {'registry': 'ror', 'value': '0435xdk58'}]"
Orbis Cascade Alliance,US,41,106,0.0,"[{'registry': 'wikidata', 'value': 'Q7100024'}]"
Lyrasis,US,32,57,0.0,"[{'registry': 'wikidata', 'value': 'Q6709869'}, {'registry': 'ror', 'value': '026tem613'}]"
Greater Western Library Alliance,US,19,33,0.0,"[{'registry': 'wikidata', 'value': 'Q16982607'}, {'registry': 'ror', 'value': '035280t21'}]"
Florida Virtual Campus Library Services,US,5,6,0.0,"[{'registry': 'wikidata', 'value': 'Q76612409'}]"
California Digital Library,US,11,34,0.0,"[{'registry': 'wikidata', 'value': 'Q5020447'}, {'registry': 'ror', 'value': '03yrm5c26'}]"
Midwest Collaborative for Library Services,US,2,2,0.0,"[{'registry': 'wikidata', 'value': 'Q76612467'}]"
Committee on Institutional Cooperation,US,19,46,0.0,"[{'registry': 'wikidata', 'value': 'Q5153069'}, {'registry': 'ror', 'value': '02ntfsb56'}]"
Virtual Library of Virginia,US,38,93,0.0,"[{'registry': 'wikidata', 'value': 'Q7934991'}, {'registry': 'ror', 'value': '021gxf250'}]"
Boston Library Consortium,US,7,9,0.0,"[{'registry': 'wikidata', 'value': 'Q76609344'}]"
Dutch Library Consortium,,10,20,0.0,[]
Saxony Consortium,,17,17,0.0,[]
Lehmanns Media (Swiss Library Consortium),,1,1,0.0,[]
